variavel,lag_passos,lag_horas,correlacao,n,safra,line
env_temperature,133,22.166666666666668,0.8098092413677398,16705,2025,4
env_temperature,134,22.333333333333332,0.8208918746385627,16701,2025,4
env_temperature,135,22.5,0.8312614549813951,16700,2025,4
env_temperature,136,22.666666666666668,0.8407057604455354,16696,2025,4
env_temperature,137,22.833333333333332,0.8491192637975388,16698,2025,4
env_temperature,138,23.0,0.8566880291457524,16691,2025,4
env_temperature,139,23.166666666666668,0.8632100409489168,16691,2025,4
env_temperature,140,23.333333333333332,0.8685541258873052,16692,2025,4
env_temperature,141,23.5,0.8727847660810114,16687,2025,4
env_temperature,142,23.666666666666668,0.8758147762476965,16684,2025,4
env_temperature,143,23.833333333333332,0.8777222570898277,16684,2025,4
env_temperature,144,24.0,0.8781649087057075,16684,2025,4
soil_humidity,1,0.16666666666666666,0.9951675517195974,17071,2025,4
soil_humidity,2,0.3333333333333333,0.9949463530158601,17065,2025,4
soil_humidity,3,0.5,0.9946688816564228,17057,2025,4
soil_humidity,4,0.6666666666666666,0.9944633436914784,17050,2025,4
soil_humidity,5,0.8333333333333334,0.9941872192125153,17043,2025,4
soil_humidity,6,1.0,0.9940296352675235,17037,2025,4
soil_humidity,7,1.1666666666666667,0.9937976210427659,17030,2025,4
soil_humidity,8,1.3333333333333333,0.9934664059636936,17028,2025,4
soil_humidity,9,1.5,0.9932618665879609,17020,2025,4
soil_humidity,10,1.6666666666666667,0.9929168512354796,17019,2025,4
soil_humidity,11,1.8333333333333333,0.9926722345552311,17011,2025,4
soil_humidity,12,2.0,0.9923143814704698,17003,2025,4
soil_humidity,13,2.1666666666666665,0.9920297362112117,16994,2025,4
soil_humidity,14,2.3333333333333335,0.9918279327371606,16988,2025,4
soil_humidity,15,2.5,0.9914564899339073,16982,2025,4
soil_humidity,16,2.6666666666666665,0.991178091899386,16977,2025,4
soil_humidity,17,2.8333333333333335,0.9908183449109754,16971,2025,4
soil_humidity,18,3.0,0.99051359733614,16965,2025,4
soil_humidity,19,3.1666666666666665,0.9904652882637852,16962,2025,4
soil_humidity,20,3.3333333333333335,0.9901669515513716,16953,2025,4
soil_humidity,21,3.5,0.9897792356196818,16950,2025,4
soil_humidity,22,3.6666666666666665,0.9896684997296986,16948,2025,4
soil_humidity,23,3.8333333333333335,0.9894820931253155,16942,2025,4
soil_humidity,24,4.0,0.9891846925343855,16939,2025,4
soil_humidity,25,4.166666666666667,0.9890220519555496,16939,2025,4
soil_humidity,26,4.333333333333333,0.9886859887268772,16928,2025,4
soil_humidity,27,4.5,0.9884960055794753,16925,2025,4
soil_humidity,28,4.666666666666667,0.9882045991377866,16924,2025,4
soil_humidity,29,4.833333333333333,0.9879139326995428,16917,2025,4
soil_humidity,30,5.0,0.9876709886213955,16917,2025,4
soil_humidity,31,5.166666666666667,0.9873588975315015,16915,2025,4
soil_humidity,32,5.333333333333333,0.9871833630987834,16917,2025,4
soil_humidity,33,5.5,0.9868318557867617,16908,2025,4
soil_humidity,34,5.666666666666667,0.9865535800250821,16905,2025,4
soil_humidity,35,5.833333333333333,0.986366185025324,16904,2025,4
soil_humidity,36,6.0,0.9860556508616332,16899,2025,4
soil_humidity,37,6.166666666666667,0.9856296293446248,16901,2025,4
soil_humidity,38,6.333333333333333,0.9855193005952865,16897,2025,4
soil_humidity,39,6.5,0.9850493626199506,16900,2025,4
soil_humidity,40,6.666666666666667,0.9848276047783701,16892,2025,4
soil_humidity,41,6.833333333333333,0.9844588841066045,16889,2025,4
soil_humidity,42,7.0,0.9841672537332724,16886,2025,4
soil_humidity,43,7.166666666666667,0.983821038621391,16887,2025,4
soil_humidity,44,7.333333333333333,0.9835506609840998,16882,2025,4
soil_humidity,45,7.5,0.9832925590920981,16879,2025,4
soil_humidity,46,7.666666666666667,0.9828609604426729,16874,2025,4
soil_humidity,47,7.833333333333333,0.9827875616992621,16869,2025,4
soil_humidity,48,8.0,0.9823796249535992,16866,2025,4
soil_humidity,49,8.166666666666666,0.9820928798978277,16864,2025,4
soil_humidity,50,8.333333333333334,0.981896675361631,16863,2025,4
soil_humidity,51,8.5,0.9817130522578605,16862,2025,4
soil_humidity,52,8.666666666666666,0.9814877918552084,16854,2025,4
soil_humidity,53,8.833333333333334,0.9809958973364302,16852,2025,4
soil_humidity,54,9.0,0.9808696424335352,16855,2025,4
soil_humidity,55,9.166666666666666,0.9805469457195063,16848,2025,4
soil_humidity,56,9.333333333333334,0.9803220118990197,16844,2025,4
soil_humidity,57,9.5,0.9802182536791633,16839,2025,4
soil_humidity,58,9.666666666666666,0.9800880005234734,16840,2025,4
soil_humidity,59,9.833333333333334,0.9797800132559428,16836,2025,4
soil_humidity,60,10.0,0.9797279131885632,16837,2025,4
soil_humidity,61,10.166666666666666,0.9793229689580176,16832,2025,4
soil_humidity,62,10.333333333333334,0.9791097712906497,16828,2025,4
soil_humidity,63,10.5,0.9790148421218509,16826,2025,4
soil_humidity,64,10.666666666666666,0.9789909368436509,16821,2025,4
soil_humidity,65,10.833333333333334,0.9787081059717133,16816,2025,4
soil_humidity,66,11.0,0.9786880823337389,16811,2025,4
soil_humidity,67,11.166666666666666,0.9784135179889147,16811,2025,4
soil_humidity,68,11.333333333333334,0.9781356162575001,16810,2025,4
soil_humidity,69,11.5,0.9778724395263713,16804,2025,4
soil_humidity,70,11.666666666666666,0.977746048719768,16804,2025,4
soil_humidity,71,11.833333333333334,0.9775979011510645,16804,2025,4
soil_humidity,72,12.0,0.9774744501905575,16800,2025,4
soil_humidity,73,12.166666666666666,0.9772306614363397,16798,2025,4
soil_humidity,74,12.333333333333334,0.9769841264048195,16798,2025,4
soil_humidity,75,12.5,0.9766859020787417,16793,2025,4
soil_humidity,76,12.666666666666666,0.9766613584097626,16796,2025,4
soil_humidity,77,12.833333333333334,0.9764518682885057,16795,2025,4
soil_humidity,78,13.0,0.9761644549827221,16787,2025,4
soil_humidity,79,13.166666666666666,0.9761038148322717,16790,2025,4
soil_humidity,80,13.333333333333334,0.9758084515813203,16784,2025,4
soil_humidity,81,13.5,0.9756973470303559,16783,2025,4
soil_humidity,82,13.666666666666666,0.9755097953653099,16785,2025,4
soil_humidity,83,13.833333333333334,0.9753254640324046,16784,2025,4
soil_humidity,84,14.0,0.9751033105089382,16779,2025,4
soil_humidity,85,14.166666666666666,0.9749722054743835,16776,2025,4
soil_humidity,86,14.333333333333334,0.974820214660884,16779,2025,4
soil_humidity,87,14.5,0.9747029208376244,16772,2025,4
soil_humidity,88,14.666666666666666,0.9743873465609673,16779,2025,4
soil_humidity,89,14.833333333333334,0.9742877806418013,16774,2025,4
soil_humidity,90,15.0,0.9740931130444791,16769,2025,4
soil_humidity,91,15.166666666666666,0.9740367969405563,16765,2025,4
soil_humidity,92,15.333333333333334,0.9737262589886043,16766,2025,4
soil_humidity,93,15.5,0.9737240173924792,16761,2025,4
soil_humidity,94,15.666666666666666,0.9733014128946581,16763,2025,4
soil_humidity,95,15.833333333333334,0.9732880602101209,16758,2025,4
soil_humidity,96,16.0,0.9731094444382948,16755,2025,4
soil_humidity,97,16.166666666666668,0.9728049950924595,16755,2025,4
soil_humidity,98,16.333333333333332,0.9725900109332988,16754,2025,4
soil_humidity,99,16.5,0.9726615157018329,16753,2025,4
soil_humidity,100,16.666666666666668,0.9722874774262924,16752,2025,4
soil_humidity,101,16.833333333333332,0.9720844414175628,16746,2025,4
soil_humidity,102,17.0,0.9720540546627424,16742,2025,4
soil_humidity,103,17.166666666666668,0.9717015251959367,16741,2025,4
soil_humidity,104,17.333333333333332,0.9716063639803322,16741,2025,4
soil_humidity,105,17.5,0.9714296104261897,16737,2025,4
soil_humidity,106,17.666666666666668,0.9712954356706599,16736,2025,4
soil_humidity,107,17.833333333333332,0.9711526723946837,16734,2025,4
soil_humidity,108,18.0,0.9707904740942085,16733,2025,4
soil_humidity,109,18.166666666666668,0.9706515161557218,16730,2025,4
soil_humidity,110,18.333333333333332,0.9704529692845408,16729,2025,4
soil_humidity,111,18.5,0.9702473931856749,16729,2025,4
soil_humidity,112,18.666666666666668,0.970223626240285,16729,2025,4
soil_humidity,113,18.833333333333332,0.9699991988065034,16725,2025,4
soil_humidity,114,19.0,0.9699499538837278,16722,2025,4
soil_humidity,115,19.166666666666668,0.9696739815038052,16719,2025,4
soil_humidity,116,19.333333333333332,0.9694858056952076,16722,2025,4
soil_humidity,117,19.5,0.9692617286694741,16717,2025,4
soil_humidity,118,19.666666666666668,0.9692571233469734,16718,2025,4
soil_humidity,119,19.833333333333332,0.9691775558587172,16718,2025,4
soil_humidity,120,20.0,0.9686833469517797,16713,2025,4
soil_humidity,121,20.166666666666668,0.9688196911037289,16713,2025,4
soil_humidity,122,20.333333333333332,0.9686299582940803,16710,2025,4
soil_humidity,123,20.5,0.9683009977675135,16710,2025,4
soil_humidity,124,20.666666666666668,0.9682733942251721,16707,2025,4
soil_humidity,125,20.833333333333332,0.9680160018099951,16706,2025,4
soil_humidity,126,21.0,0.9678606724234029,16705,2025,4
soil_humidity,127,21.166666666666668,0.9678023714271845,16702,2025,4
soil_humidity,128,21.333333333333332,0.9676614885171794,16699,2025,4
soil_humidity,129,21.5,0.9674635502578233,16698,2025,4
soil_humidity,130,21.666666666666668,0.967390689517215,16696,2025,4
soil_humidity,131,21.833333333333332,0.9671429230253447,16696,2025,4
soil_humidity,132,22.0,0.9670024614893689,16693,2025,4
soil_humidity,133,22.166666666666668,0.9666147481208566,16691,2025,4
soil_humidity,134,22.333333333333332,0.9664831567566662,16687,2025,4
soil_humidity,135,22.5,0.9663502534108028,16686,2025,4
soil_humidity,136,22.666666666666668,0.9663272520214677,16682,2025,4
soil_humidity,137,22.833333333333332,0.966130741734008,16684,2025,4
soil_humidity,138,23.0,0.9659568731108166,16677,2025,4
soil_humidity,139,23.166666666666668,0.9658869502088081,16677,2025,4
soil_humidity,140,23.333333333333332,0.9655692355801282,16678,2025,4
soil_humidity,141,23.5,0.9653536171683601,16673,2025,4
soil_humidity,142,23.666666666666668,0.9652647827577315,16671,2025,4
soil_humidity,143,23.833333333333332,0.9651408955612931,16670,2025,4
soil_humidity,144,24.0,0.9651140416214367,16670,2025,4
env_temperature,1,0.16666666666666666,0.9977950141785863,17085,2025,3
env_temperature,2,0.3333333333333333,0.9935165062709647,17079,2025,3
env_temperature,3,0.5,0.9878570487873226,17071,2025,3
env_temperature,4,0.6666666666666666,0.9808871422288451,17064,2025,3
env_temperature,5,0.8333333333333334,0.9727684094802026,17057,2025,3
env_temperature,6,1.0,0.9635359329725517,17051,2025,3
env_temperature,7,1.1666666666666667,0.9533148124638223,17044,2025,3
env_temperature,8,1.3333333333333333,0.9421206537246715,17042,2025,3
env_temperature,9,1.5,0.9300375908643047,17033,2025,3
env_temperature,10,1.6666666666666667,0.9173183379184625,17032,2025,3
env_temperature,11,1.8333333333333333,0.9038864953988186,17024,2025,3
env_temperature,12,2.0,0.8896524309174826,17017,2025,3
env_temperature,13,2.1666666666666665,0.8747598411015564,17008,2025,3
env_temperature,14,2.3333333333333335,0.8593466665993401,17001,2025,3
env_temperature,15,2.5,0.843381272626094,16996,2025,3
env_temperature,16,2.6666666666666665,0.8268432533387725,16990,2025,3
env_temperature,17,2.8333333333333335,0.8099429660075189,16984,2025,3
env_temperature,18,3.0,0.7925213353595812,16979,2025,3
env_temperature,19,3.1666666666666665,0.7746744363577788,16976,2025,3
env_temperature,20,3.3333333333333335,0.7561370258067199,16967,2025,3
env_temperature,21,3.5,0.7373282034382779,16964,2025,3
env_temperature,22,3.6666666666666665,0.71825715054994,16961,2025,3
env_temperature,23,3.8333333333333335,0.6989732130050458,16955,2025,3
env_temperature,24,4.0,0.6794087262332504,16953,2025,3
env_temperature,25,4.166666666666667,0.6595763659951681,16953,2025,3
env_temperature,26,4.333333333333333,0.6395076694830809,16941,2025,3
env_temperature,27,4.5,0.6192307058093333,16939,2025,3
env_temperature,28,4.666666666666667,0.5987769765325481,16938,2025,3
env_temperature,29,4.833333333333333,0.5783838846277765,16930,2025,3
env_temperature,30,5.0,0.5577050424028427,16931,2025,3
env_temperature,31,5.166666666666667,0.5370197720873104,16929,2025,3
env_temperature,32,5.333333333333333,0.5160727680674667,16931,2025,3
env_temperature,33,5.5,0.4950821077145606,16921,2025,3
env_temperature,34,5.666666666666667,0.4739170596066685,16919,2025,3
env_temperature,35,5.833333333333333,0.4526797505677151,16918,2025,3
env_temperature,36,6.0,0.4312884047231446,16913,2025,3
env_temperature,37,6.166666666666667,0.4099647688416071,16915,2025,3
env_temperature,38,6.333333333333333,0.38871338379152826,16911,2025,3
env_temperature,39,6.5,0.36783704009797324,16914,2025,3
env_temperature,40,6.666666666666667,0.3469161429741533,16906,2025,3
env_temperature,41,6.833333333333333,0.3263784184197994,16903,2025,3
env_temperature,42,7.0,0.30592810143754456,16900,2025,3
env_temperature,43,7.166666666666667,0.28535723939118074,16901,2025,3
env_temperature,44,7.333333333333333,0.26546425698164944,16896,2025,3
env_temperature,45,7.5,0.24565838615250282,16892,2025,3
env_temperature,46,7.666666666666667,0.2258506995942815,16888,2025,3
env_temperature,47,7.833333333333333,0.20638674270112226,16883,2025,3
env_temperature,48,8.0,0.1875746453080157,16880,2025,3
env_temperature,49,8.166666666666666,0.16896429613041494,16878,2025,3
env_temperature,50,8.333333333333334,0.1509286636967869,16877,2025,3
env_temperature,51,8.5,0.13320577852421658,16876,2025,3
env_temperature,52,8.666666666666666,0.11604741166661255,16868,2025,3
env_temperature,53,8.833333333333334,0.09926719482271039,16866,2025,3
env_temperature,54,9.0,0.08294016706841728,16867,2025,3
env_temperature,55,9.166666666666666,0.06708260082104821,16862,2025,3
env_temperature,56,9.333333333333334,0.05182020859250036,16858,2025,3
env_temperature,57,9.5,0.03736859601392162,16853,2025,3
env_temperature,58,9.666666666666666,0.023645461038635344,16853,2025,3
env_temperature,59,9.833333333333334,0.010530950160369824,16850,2025,3
env_temperature,60,10.0,-0.001715649038831476,16850,2025,3
env_temperature,61,10.166666666666666,-0.01328304262541906,16846,2025,3
env_temperature,62,10.333333333333334,-0.024095836437757773,16842,2025,3
env_temperature,63,10.5,-0.03367589290823479,16838,2025,3
