safra,line,lag_passos,lag_horas,pearson,spearman,n,delta_umidade_media,delta_umidade_mediana
2024,2,36,6.0,-0.15365475155852937,-0.04785506395649169,3538,-0.28444177501413226,-0.125
2024,2,72,12.0,-0.022105035051194693,0.14484259185180207,1322,-0.6444175491679276,-0.21000000000000085
2024,2,144,24.0,0.10901958715022206,0.010505546259625086,185,-0.5723513513513517,-0.3200000000000003
2024,1,1,0.16666666666666666,-0.040489520509036744,-0.16651607609872915,8890,-0.013238751406074237,0.0
2024,1,3,0.5,-0.06826621275486183,-0.19238860823009693,8461,-0.03960678406807706,-0.019999999999999574
2024,1,6,1.0,-0.10157581762007337,-0.18031822893160168,7869,-0.07333473122378954,-0.03499999999999659
2024,1,12,2.0,-0.1533863476999965,-0.15984656034537467,6777,-0.12554397225911174,-0.05999999999999872
2024,1,18,3.0,-0.15842566859202087,-0.11681489824227245,5806,-0.20158597427948105,-0.0799999999999983
2024,1,36,6.0,-0.18798316954532357,-0.12745630997779586,3535,-0.449804290429043,-0.15000000000000213
2024,1,72,12.0,-0.1818454871305228,-0.1841103625017484,1479,-0.9700642325895878,-0.23000000000000043
2024,1,144,24.0,-0.36589254332562954,-0.20024682449599857,560,-0.7289553571428569,-0.120000000000001
2024,5,1,0.16666666666666666,-0.013477561117131838,-0.05746496944358094,8939,-0.001839691240630948,0.0
2024,5,3,0.5,-0.020725479343145475,-0.015659776795650542,8469,-0.008235328846380919,0.0
2024,5,6,1.0,-0.01552333074621037,0.034255524485287084,7809,-0.021502112946600073,-0.020000000000003126
2024,5,12,2.0,-0.003969726678814383,0.08812736391665123,6652,-0.07691145520144313,-0.030000000000001137
2024,5,18,3.0,0.007453037666374965,0.13062179407046864,5631,-0.1062884034807316,-0.05000000000000071
2024,5,36,6.0,-0.1008816092940703,0.11421298836681568,3252,-0.10289975399753991,-0.0799999999999983
2024,5,72,12.0,-0.1692847976627891,-0.20120959542547479,1179,-0.29446564885496174,-0.134999999999998
2024,5,144,24.0,0.11199949544307031,0.1659737944682571,269,-0.12615241635687777,-0.120000000000001
2024,3,1,0.16666666666666666,-0.12024891994144972,-0.2670585331863586,8757,-0.03896654105287199,0.0
2024,3,3,0.5,-0.20302491291956304,-0.25161470787900114,8302,-0.10486328595519152,-0.030000000000001137
2024,3,6,1.0,-0.22573717406158494,-0.21520281870544547,7662,-0.18107478465152704,-0.05999999999999872
2024,3,12,2.0,-0.23366911458882386,-0.1575073293781471,6553,-0.30456813673126815,-0.10000000000000142
2024,3,18,3.0,-0.21061824934192067,-0.10276800637453562,5588,-0.4153892269148174,-0.15499999999999936
2024,3,36,6.0,-0.15437268370420168,-0.013392233524900495,3216,-0.7378389303482586,-0.3500000000000014
2024,3,72,12.0,-0.17754362277615107,-0.0438932333198474,1161,-1.6743023255813956,-1.4299999999999997
2024,3,144,24.0,-0.4810007106572358,-0.5433371014540305,272,-2.0557352941176474,-1.8574999999999982
